Timestamp;WC0;WC1;WC2
1370139932000;1.0;1.0;6.0
1370139933000;4.0;5.0;3.0
1370139934000;4.0;4.0;3.0
1370139935000;0.0;7.0;3.0
1370139936000;4.0;3.0;5.0
1370139937000;2.0;3.0;3.0
1370139938000;0.0;5.0;2.0
1370139939000;4.0;2.0;4.0
1370139940000;5.0;5.0;3.0
1370139941000;2.0;5.0;1.0
1370139942000;3.0;4.0;6.0
1370139943000;6.0;4.0;3.0
1370139944000;1.0;2.0;4.0
1370139945000;3.0;7.0;5.0
1370139946000;5.0;1.0;6.0
1370139947000;10.0;4.0;2.0
1370139948000;3.0;7.0;4.0
1370139949000;4.0;1.0;2.0
1370139950000;0.0;4.0;3.0
1370139951000;3.0;4.0;4.0
1370139952000;0.0;1.0;4.0
1370139953000;2.0;3.0;3.0
1370139954000;2.0;4.0;4.0
1370139955000;4.0;3.0;2.0
1370139956000;1.0;1.0;3.0
1370139957000;2.0;4.0;4.0
1370139958000;2.0;4.0;2.0
1370139959000;2.0;1.0;2.0
1370139960000;2.0;4.0;3.0
1370139961000;6.0;1.0;6.0
1370139962000;2.0;7.0;3.0
1370139963000;1.0;4.0;1.0
1370139964000;1.0;3.0;2.0
1370139965000;2.0;8.0;3.0
1370139966000;3.0;1.0;2.0
1370139967000;1.0;4.0;3.0
1370139968000;6.0;2.0;2.0
1370139969000;1.0;4.0;3.0
1370139970000;4.0;2.0;3.0
1370139971000;5.0;4.0;0.0
1370139972000;6.0;4.0;5.0
1370139973000;3.0;3.0;0.0
1370139974000;1.0;2.0;0.0
1370139975000;3.0;2.0;0.0
1370139976000;4.0;1.0;4.0
1370139977000;1.0;5.0;3.0
1370139978000;2.0;4.0;3.0
1370139979000;6.0;2.0;4.0
1370139980000;3.0;4.0;5.0
1370139981000;4.0;3.0;2.0
1370139982000;4.0;6.0;2.0
1370139983000;2.0;2.0;5.0
1370139984000;0.0;3.0;2.0
1370139985000;3.0;4.0;3.0
1370139986000;3.0;4.0;4.0
1370139987000;3.0;2.0;5.0
1370139988000;4.0;3.0;4.0
1370139989000;2.0;3.0;3.0
1370139990000;3.0;7.0;1.0
1370139991000;5.0;3.0;4.0
1370139992000;4.0;2.0;3.0
1370139993000;1.0;3.0;3.0
1370139994000;7.0;4.0;4.0
1370139995000;2.0;2.0;5.0
1370139996000;3.0;6.0;1.0
1370139997000;3.0;4.0;3.0
1370139998000;2.0;2.0;4.0
1370139999000;3.0;2.0;7.0
1370140000000;3.0;4.0;2.0
1370140001000;2.0;1.0;2.0
1370140002000;2.0;3.0;4.0
1370140003000;2.0;3.0;5.0
1370140004000;3.0;6.0;5.0
1370140005000;2.0;10.0;7.0
1370140006000;4.0;3.0;3.0
1370140007000;6.0;7.0;1.0
1370140008000;4.0;4.0;2.0
1370140009000;3.0;4.0;4.0
1370140010000;0.0;6.0;4.0
1370140011000;4.0;5.0;4.0
1370140012000;1.0;4.0;3.0
1370140013000;5.0;2.0;0.0
1370140014000;3.0;3.0;4.0
1370140015000;2.0;3.0;3.0
1370140016000;1.0;3.0;5.0
1370140017000;2.0;1.0;2.0
1370140018000;2.0;3.0;3.0
1370140019000;3.0;2.0;3.0
1370140020000;3.0;5.0;5.0
1370140021000;8.0;3.0;2.0
1370140022000;3.0;5.0;3.0
1370140023000;3.0;3.0;6.0
1370140024000;0.0;3.0;2.0
1370140025000;3.0;4.0;3.0
1370140026000;6.0;4.0;4.0
1370140027000;6.0;5.0;4.0
1370140028000;3.0;6.0;2.0
1370140029000;2.0;3.0;4.0
1370140030000;2.0;2.0;4.0
1370140031000;5.0;5.0;5.0
1370140032000;4.0;5.0;6.0
1370140033000;3.0;2.0;1.0
1370140034000;3.0;4.0;5.0
1370140035000;5.0;2.0;5.0
1370140036000;3.0;1.0;7.0
1370140037000;5.0;2.0;2.0
1370140038000;4.0;4.0;4.0
1370140039000;6.0;3.0;3.0
1370140040000;5.0;5.0;5.0
1370140041000;1.0;4.0;1.0
1370140042000;1.0;6.0;3.0
1370140043000;2.0;4.0;3.0
1370140044000;3.0;4.0;1.0
1370140045000;0.0;1.0;6.0
1370140046000;2.0;1.0;5.0
1370140047000;4.0;4.0;4.0
