Timestamp;WC0;WC1
1370067392000;2.0;2.0
1370067393000;1.0;0.0
1370067394000;1.0;1.0
1370067395000;1.0;2.0
1370067396000;0.0;1.0
1370067397000;6.0;1.0
1370067398000;2.0;0.0
1370067399000;0.0;0.0
1370067400000;2.0;2.0
1370067401000;1.0;0.0
1370067402000;2.0;0.0
1370067403000;2.0;2.0
1370067404000;1.0;0.0
1370067405000;0.0;1.0
1370067406000;2.0;0.0
1370067407000;2.0;1.0
1370067408000;3.0;2.0
1370067409000;0.0;1.0
1370067410000;2.0;0.0
1370067411000;2.0;0.0
1370067412000;2.0;2.0
1370067413000;1.0;3.0
1370067414000;0.0;1.0
1370067415000;0.0;1.0
1370067416000;0.0;2.0
1370067417000;2.0;1.0
1370067418000;1.0;3.0
1370067419000;3.0;0.0
1370067420000;1.0;0.0
1370067421000;1.0;0.0
1370067422000;4.0;2.0
1370067423000;3.0;0.0
1370067424000;2.0;0.0
1370067425000;0.0;2.0
1370067426000;2.0;0.0
1370067427000;1.0;1.0
1370067428000;2.0;0.0
1370067429000;3.0;1.0
1370067430000;3.0;2.0
1370067431000;1.0;3.0
1370067432000;2.0;1.0
1370067433000;0.0;1.0
1370067434000;4.0;2.0
1370067435000;1.0;3.0
1370067436000;1.0;0.0
1370067437000;1.0;0.0
1370067438000;0.0;0.0
1370067439000;2.0;0.0
1370067440000;0.0;0.0
1370067441000;1.0;1.0
1370067442000;0.0;0.0
1370067443000;2.0;1.0
1370067444000;2.0;0.0
1370067445000;2.0;2.0
1370067446000;2.0;1.0
1370067447000;3.0;2.0
1370067448000;0.0;1.0
1370067449000;0.0;1.0
1370067450000;1.0;3.0
1370067451000;1.0;0.0
1370067452000;2.0;1.0
1370067453000;2.0;0.0
1370067454000;3.0;1.0
1370067455000;1.0;1.0
1370067456000;1.0;3.0
1370067457000;1.0;3.0
1370067458000;0.0;1.0
1370067459000;0.0;2.0
1370067460000;1.0;2.0
1370067461000;3.0;1.0
1370067462000;2.0;2.0
1370067463000;1.0;2.0
1370067464000;2.0;3.0
1370067465000;1.0;1.0
1370067466000;2.0;0.0
1370067467000;0.0;3.0
1370067468000;1.0;3.0
1370067469000;2.0;0.0
1370067470000;2.0;1.0
1370067471000;0.0;2.0
1370067472000;2.0;2.0
1370067473000;2.0;0.0
1370067474000;2.0;0.0
1370067475000;2.0;1.0
1370067476000;1.0;1.0
1370067477000;4.0;2.0
1370067478000;0.0;1.0
1370067479000;1.0;2.0
1370067480000;0.0;2.0
1370067481000;3.0;1.0
1370067482000;0.0;1.0
1370067483000;0.0;0.0
1370067484000;2.0;1.0
1370067485000;1.0;1.0
1370067486000;1.0;0.0
1370067487000;0.0;0.0
1370067488000;1.0;3.0
1370067489000;2.0;1.0
1370067490000;3.0;2.0
1370067491000;2.0;1.0
1370067492000;2.0;3.0
1370067493000;0.0;1.0
1370067494000;1.0;2.0
1370067495000;1.0;0.0
1370067496000;3.0;0.0
1370067497000;0.0;1.0
1370067498000;0.0;0.0
1370067499000;1.0;1.0
1370067500000;1.0;1.0
1370067501000;3.0;2.0
1370067502000;1.0;0.0
1370067503000;2.0;1.0
1370067504000;1.0;1.0
1370067505000;0.0;4.0
1370067506000;0.0;0.0
1370067507000;1.0;1.0
1370067508000;1.0;1.0
1370067509000;1.0;3.0
1370067510000;1.0;1.0
1370067511000;1.0;1.0
1370067512000;2.0;2.0
1370067513000;1.0;1.0
1370067514000;2.0;4.0
1370067515000;3.0;2.0
1370067516000;3.0;0.0
1370067517000;0.0;2.0
1370067518000;6.0;1.0
1370067519000;3.0;1.0
1370067520000;2.0;1.0
1370067521000;3.0;2.0
1370067522000;3.0;2.0
1370067523000;3.0;0.0
1370067524000;1.0;1.0
1370067525000;3.0;0.0
1370067526000;2.0;2.0
1370067527000;1.0;1.0
1370067528000;2.0;0.0
1370067529000;2.0;0.0
1370067530000;1.0;0.0
1370067531000;1.0;1.0
1370067532000;1.0;2.0
1370067533000;0.0;3.0
1370067534000;3.0;0.0
1370067535000;2.0;2.0
1370067536000;3.0;1.0
1370067537000;3.0;0.0
1370067538000;2.0;1.0
1370067539000;3.0;2.0
1370067540000;0.0;5.0
1370067541000;1.0;1.0
1370067542000;1.0;0.0
1370067543000;0.0;0.0
1370067544000;0.0;1.0
1370067545000;1.0;0.0
1370067546000;1.0;2.0
1370067547000;1.0;4.0
1370067548000;1.0;1.0
1370067549000;2.0;0.0
1370067550000;0.0;0.0
1370067551000;3.0;1.0
1370067552000;1.0;1.0
1370067553000;2.0;0.0
1370067554000;2.0;1.0
1370067555000;0.0;0.0
1370067556000;0.0;0.0
1370067557000;0.0;2.0
1370067558000;1.0;0.0
1370067559000;1.0;1.0
1370067560000;2.0;1.0
1370067561000;1.0;2.0
1370067562000;0.0;1.0
1370067563000;4.0;0.0
1370067564000;2.0;0.0
1370067565000;3.0;5.0
1370067566000;0.0;2.0
1370067567000;1.0;1.0
1370067568000;1.0;0.0
1370067569000;0.0;2.0
1370067570000;0.0;3.0
1370067571000;2.0;3.0
1370067572000;1.0;0.0
1370067573000;1.0;0.0
1370067574000;2.0;0.0
1370067575000;1.0;1.0
1370067576000;1.0;3.0
1370067577000;0.0;1.0
1370067578000;1.0;0.0
1370067579000;0.0;2.0
1370067580000;1.0;0.0
1370067581000;0.0;3.0
1370067582000;1.0;1.0
1370067583000;0.0;0.0
1370067584000;0.0;2.0
1370067585000;0.0;3.0
1370067586000;1.0;1.0
1370067587000;3.0;3.0
1370067588000;1.0;0.0
1370067589000;1.0;3.0
1370067590000;1.0;3.0
1370067591000;2.0;4.0
1370067592000;3.0;1.0
1370067593000;3.0;1.0
1370067594000;2.0;0.0
1370067595000;1.0;2.0
1370067596000;0.0;5.0
1370067597000;0.0;1.0
1370067598000;1.0;3.0
1370067599000;2.0;2.0
1370067600000;1.0;4.0
1370067601000;2.0;3.0
