Timestamp;WC0;WC1
1370056005000;1.8281535648994516;1.8281535648994516
1370056006000;8.0;4.0
1370056007000;4.0;7.0
1370056008000;2.0;7.0
1370056009000;7.0;4.0
1370056010000;1.0;2.0
1370056011000;7.0;2.0
1370056012000;1.0;2.0
1370056013000;5.0;5.0
1370056014000;4.0;3.0
1370056015000;4.0;4.0
1370056016000;5.0;8.0
1370056017000;5.0;3.0
1370056018000;5.0;1.0
1370056019000;3.0;3.0
1370056020000;4.0;3.0
1370056021000;3.0;0.0
1370056022000;9.0;6.0
1370056023000;5.0;8.0
1370056024000;5.0;2.0
1370056025000;7.0;5.0
1370056026000;5.0;2.0
1370056027000;5.0;4.0
1370056028000;3.0;3.0
1370056029000;6.0;1.0
1370056030000;3.0;2.0
1370056031000;0.0;2.0
1370056032000;5.0;1.0
1370056033000;4.0;2.0
1370056034000;1.0;3.0
1370056035000;4.0;3.0
1370056036000;5.0;6.0
1370056037000;3.0;2.0
1370056038000;2.0;5.0
1370056039000;5.0;3.0
1370056040000;1.0;4.0
1370056041000;4.0;4.0
1370056042000;3.0;5.0
1370056043000;3.0;2.0
1370056044000;2.0;2.0
1370056045000;5.0;5.0
1370056046000;3.0;7.0
1370056047000;8.0;7.0
1370056048000;3.0;2.0
1370056049000;6.0;6.0
1370056050000;4.0;3.0
1370056051000;6.0;2.0
1370056052000;6.0;2.0
1370056053000;5.0;5.0
1370056054000;3.0;5.0
1370056055000;4.0;3.0
1370056056000;6.0;6.0
1370056057000;4.0;6.0
1370056058000;5.0;4.0
1370056059000;3.0;3.0
1370056060000;4.0;1.0
1370056061000;2.0;3.0
1370056062000;6.0;2.0
1370056063000;1.0;6.0
1370056064000;2.0;6.0
1370056065000;5.0;4.0
1370056066000;7.0;4.0
1370056067000;5.0;3.0
1370056068000;4.0;2.0
1370056069000;7.0;8.0
1370056070000;7.0;3.0
1370056071000;1.0;5.0
1370056072000;5.0;5.0
1370056073000;5.0;7.0
1370056074000;2.0;5.0
1370056075000;7.0;0.0
1370056076000;2.0;9.0
1370056077000;8.0;5.0
1370056078000;4.0;3.0
1370056079000;7.0;2.0
1370056080000;7.0;1.0
1370056081000;4.0;3.0
1370056082000;3.0;2.0
1370056083000;2.0;3.0
1370056084000;4.0;3.0
1370056085000;5.0;4.0
1370056086000;7.0;0.0
1370056087000;3.0;1.0
1370056088000;2.0;6.0
1370056089000;4.0;6.0
1370056090000;2.0;2.0
1370056091000;2.0;3.0
1370056092000;5.0;2.0
1370056093000;9.0;4.0
1370056094000;6.0;1.0
1370056095000;1.0;9.0
1370056096000;5.0;9.0
1370056097000;2.0;1.0
1370056098000;5.0;1.0
1370056099000;2.0;5.0
1370056100000;1.0;4.0
1370056101000;5.0;5.0
1370056102000;5.0;7.0
1370056103000;7.0;7.0
1370056104000;8.0;2.0
1370056105000;4.0;6.0
1370056106000;3.0;6.0
1370056107000;3.0;7.0
1370056108000;4.0;4.0
1370056109000;4.0;2.0
1370056110000;3.0;4.0
1370056111000;9.0;2.0
1370056112000;4.0;4.0
1370056113000;4.0;3.0
1370056114000;4.0;3.0
1370056115000;3.0;4.0
1370056116000;5.0;6.0
1370056117000;3.0;10.0
1370056118000;3.0;4.0
1370056119000;2.0;5.0
1370056120000;6.0;2.0
1370056121000;2.0;5.0
1370056122000;6.0;4.0
1370056123000;7.0;3.0
1370056124000;5.0;4.0
1370056125000;7.0;5.0
1370056126000;3.0;3.0
1370056127000;2.0;2.0
1370056128000;7.0;5.0
1370056129000;0.0;6.0
1370056130000;3.0;5.0
1370056131000;5.0;0.0
1370056132000;5.0;2.0
1370056133000;3.0;1.0
1370056134000;2.0;3.0
1370056135000;1.0;5.0
1370056136000;3.0;7.0
1370056137000;2.0;6.0
1370056138000;9.0;4.0
1370056139000;7.0;1.0
1370056140000;0.0;3.0
1370056141000;6.0;3.0
1370056142000;1.0;6.0
1370056143000;2.0;3.0
1370056144000;2.0;4.0
1370056145000;5.0;1.0
1370056146000;3.0;5.0
1370056147000;2.0;4.0
1370056148000;4.0;2.0
1370056149000;2.0;6.0
1370056150000;8.0;0.0
1370056151000;5.0;2.0
1370056152000;7.0;4.0
1370056153000;4.0;0.0
1370056154000;7.0;5.0
1370056155000;6.0;6.0
1370056156000;4.0;6.0
1370056157000;5.0;6.0
1370056158000;5.0;5.0
1370056159000;5.0;6.0
1370056160000;0.0;5.0
1370056161000;5.0;7.0
1370056162000;3.0;4.0
1370056163000;3.0;3.0
1370056164000;3.0;5.0
1370056165000;4.0;4.0
1370056166000;5.0;3.0
1370056167000;4.0;3.0
1370056168000;2.0;1.0
1370056169000;9.0;3.0
1370056170000;3.0;3.0
1370056171000;1.0;1.0
1370056172000;4.0;4.0
1370056173000;2.0;8.0
1370056174000;4.0;3.0
1370056175000;2.0;0.0
1370056176000;4.0;5.0
1370056177000;3.0;2.0
1370056178000;2.0;2.0
1370056179000;5.0;8.0
1370056180000;4.0;2.0
1370056181000;6.0;4.0
1370056182000;5.0;5.0
1370056183000;6.0;2.0
1370056184000;6.0;2.0
1370056185000;2.0;6.0
1370056186000;7.0;2.0
1370056187000;4.0;1.0
1370056188000;5.0;2.0
1370056189000;3.0;5.0
1370056190000;4.0;3.0
1370056191000;1.0;4.0
1370056192000;2.0;6.0
1370056193000;6.0;7.0
1370056194000;6.0;3.0
1370056195000;3.0;1.0
1370056196000;5.0;1.0
1370056197000;4.0;6.0
1370056198000;5.0;4.0
1370056199000;4.0;4.0
1370056200000;4.0;3.0
1370056201000;1.0;2.0
1370056202000;1.0;3.0
1370056203000;5.0;4.0
1370056204000;5.0;4.0
1370056205000;3.0;0.0
1370056206000;5.0;2.0
1370056207000;5.0;5.0
1370056208000;2.0;5.0
1370056209000;5.0;8.0
1370056210000;3.0;3.0
1370056211000;5.0;6.0
1370056212000;5.0;3.0
1370056213000;2.0;6.0
1370056214000;5.0;6.0
1370056215000;5.0;2.0
1370056216000;7.0;4.0
1370056217000;1.0;5.0
1370056218000;2.0;2.0
1370056219000;4.0;1.0
1370056220000;3.0;6.0
1370056221000;5.0;3.0
1370056222000;4.0;2.0
1370056223000;3.0;4.0
1370056224000;4.0;3.0
1370056225000;5.0;3.0
1370056226000;2.0;4.0
1370056227000;2.0;3.0
1370056228000;4.0;5.0
1370056229000;3.0;6.0
1370056230000;5.0;3.0
1370056231000;2.0;5.0
1370056232000;2.0;5.0
1370056233000;8.0;3.0
1370056234000;4.0;3.0
1370056235000;4.0;4.0
1370056236000;5.0;4.0
1370056237000;5.0;7.0
1370056238000;4.0;2.0
1370056239000;5.0;5.0
1370056240000;3.0;6.0
1370056241000;7.0;3.0
1370056242000;5.0;1.0
1370056243000;3.0;6.0
1370056244000;3.0;5.0
1370056245000;3.0;1.0
1370056246000;3.0;7.0
1370056247000;4.0;9.0
1370056248000;3.0;2.0
1370056249000;6.0;2.0
1370056250000;6.0;6.0
1370056251000;8.0;6.0
1370056252000;5.0;3.0
1370056253000;7.0;6.0
1370056254000;3.0;3.0
1370056255000;3.0;2.0
1370056256000;3.0;6.0
1370056257000;1.0;8.0
1370056258000;7.0;4.0
1370056259000;2.0;6.0
1370056260000;4.0;1.0
1370056261000;6.0;5.0
1370056262000;5.0;0.0
1370056263000;5.0;8.0
1370056264000;4.0;7.0
1370056265000;1.0;4.0
1370056266000;2.0;3.0
1370056267000;4.0;4.0
1370056268000;6.0;6.0
1370056269000;5.0;5.0
1370056270000;1.0;6.0
1370056271000;3.0;10.0
1370056272000;5.0;2.0
1370056273000;3.0;3.0
1370056274000;4.0;6.0
1370056275000;6.0;5.0
1370056276000;5.0;2.0
1370056277000;3.0;5.0
1370056278000;6.0;5.0
1370056279000;6.0;2.0
1370056280000;3.0;3.0
1370056281000;6.0;6.0
1370056282000;2.0;7.0
1370056283000;3.0;6.0
1370056284000;2.0;4.0
1370056285000;0.0;4.0
1370056286000;4.0;2.0
1370056287000;3.0;4.0
1370056288000;4.0;4.0
1370056289000;2.0;3.0
1370056290000;1.0;6.0
1370056291000;4.0;3.0
1370056292000;3.0;7.0
1370056293000;5.0;0.0
1370056294000;4.0;3.0
1370056295000;0.0;4.0
1370056296000;2.0;7.0
1370056297000;3.0;6.0
1370056298000;1.0;5.0
1370056299000;4.0;2.0
1370056300000;6.0;2.0
1370056301000;4.0;6.0
1370056302000;2.0;7.0
1370056303000;3.0;4.0
1370056304000;3.0;4.0
1370056305000;7.0;5.0
1370056306000;7.0;1.0
1370056307000;3.0;2.0
1370056308000;4.0;3.0
1370056309000;4.0;5.0
1370056310000;11.0;4.0
1370056311000;1.0;1.0
1370056312000;3.0;6.0
1370056313000;5.0;3.0
1370056314000;1.0;2.0
