Timestamp;WC0;WC1
1370106997000;2.0;2.0
1370106998000;7.0;4.0
1370106999000;5.0;3.0
1370107000000;2.0;4.0
1370107001000;0.0;2.0
1370107002000;4.0;3.0
1370107003000;6.0;5.0
1370107004000;5.0;3.0
1370107005000;6.0;5.0
1370107006000;2.0;7.0
1370107007000;5.0;4.0
1370107008000;1.0;2.0
1370107009000;3.0;3.0
1370107010000;3.0;4.0
1370107011000;4.0;3.0
1370107012000;1.0;1.0
1370107013000;4.0;1.0
1370107014000;2.0;1.0
1370107015000;5.0;5.0
1370107016000;2.0;5.0
1370107017000;5.0;3.0
1370107018000;0.0;3.0
1370107019000;5.0;4.0
1370107020000;1.0;3.0
1370107021000;3.0;4.0
1370107022000;4.0;3.0
1370107023000;4.0;4.0
1370107024000;3.0;5.0
1370107025000;5.0;2.0
1370107026000;5.0;2.0
1370107027000;1.0;2.0
1370107028000;2.0;3.0
1370107029000;3.0;2.0
1370107030000;2.0;1.0
1370107031000;4.0;2.0
1370107032000;5.0;3.0
1370107033000;5.0;2.0
1370107034000;3.0;3.0
1370107035000;3.0;4.0
1370107036000;3.0;3.0
1370107037000;3.0;5.0
1370107038000;3.0;5.0
1370107039000;0.0;1.0
1370107040000;4.0;1.0
1370107041000;3.0;3.0
1370107042000;8.0;1.0
1370107043000;3.0;5.0
1370107044000;4.0;4.0
1370107045000;3.0;0.0
1370107046000;2.0;5.0
1370107047000;3.0;1.0
1370107048000;2.0;1.0
1370107049000;3.0;4.0
1370107050000;2.0;0.0
1370107051000;2.0;4.0
1370107052000;5.0;1.0
1370107053000;4.0;4.0
1370107054000;1.0;4.0
1370107055000;4.0;2.0
1370107056000;3.0;2.0
1370107057000;3.0;7.0
1370107058000;6.0;2.0
1370107059000;4.0;4.0
1370107060000;3.0;3.0
1370107061000;3.0;6.0
1370107062000;1.0;6.0
1370107063000;6.0;4.0
1370107064000;1.0;7.0
1370107065000;4.0;2.0
1370107066000;4.0;6.0
1370107067000;5.0;4.0
1370107068000;3.0;2.0
1370107069000;2.0;1.0
1370107070000;0.0;1.0
1370107071000;2.0;3.0
1370107072000;5.0;6.0
1370107073000;3.0;1.0
1370107074000;7.0;2.0
1370107075000;1.0;2.0
1370107076000;4.0;1.0
1370107077000;3.0;0.0
1370107078000;3.0;6.0
1370107079000;6.0;7.0
1370107080000;3.0;3.0
1370107081000;2.0;3.0
1370107082000;4.0;3.0
1370107083000;5.0;3.0
1370107084000;3.0;2.0
1370107085000;4.0;5.0
1370107086000;4.0;6.0
1370107087000;2.0;1.0
1370107088000;2.0;5.0
1370107089000;3.0;0.0
1370107090000;7.0;3.0
1370107091000;2.0;2.0
1370107092000;6.0;5.0
1370107093000;5.0;1.0
1370107094000;3.0;1.0
1370107095000;2.0;1.0
1370107096000;3.0;3.0
1370107097000;3.0;5.0
1370107098000;1.0;5.0
1370107099000;2.0;2.0
1370107100000;5.0;3.0
1370107101000;6.0;1.0
1370107102000;4.0;2.0
1370107103000;4.0;5.0
1370107104000;2.0;3.0
1370107105000;4.0;5.0
1370107106000;6.0;2.0
1370107107000;5.0;5.0
1370107108000;2.0;7.0
1370107109000;1.0;6.0
1370107110000;2.0;4.0
1370107111000;3.0;4.0
1370107112000;6.0;1.0
1370107113000;5.0;3.0
1370107114000;6.0;4.0
1370107115000;5.0;4.0
1370107116000;1.0;1.0
1370107117000;5.0;6.0
1370107118000;4.0;2.0
1370107119000;1.0;5.0
1370107120000;3.0;4.0
1370107121000;2.0;2.0
1370107122000;4.0;4.0
1370107123000;3.0;2.0
1370107124000;7.0;4.0
1370107125000;8.0;2.0
1370107126000;4.0;2.0
1370107127000;3.0;8.0
1370107128000;4.0;5.0
1370107129000;5.0;5.0
1370107130000;4.0;1.0
1370107131000;4.0;3.0
1370107132000;5.0;5.0
1370107133000;3.0;7.0
1370107134000;2.0;5.0
1370107135000;4.0;2.0
1370107136000;1.0;3.0
1370107137000;10.0;3.0
1370107138000;5.0;3.0
1370107139000;5.0;4.0
1370107140000;1.0;3.0
1370107141000;3.0;1.0
1370107142000;1.0;5.0
1370107143000;2.0;0.0
1370107144000;1.0;2.0
1370107145000;3.0;1.0
1370107146000;2.0;2.0
1370107147000;3.0;4.0
1370107148000;0.0;7.0
1370107149000;1.0;2.0
1370107150000;2.0;3.0
1370107151000;1.0;2.0
1370107152000;5.0;4.0
1370107153000;4.0;2.0
1370107154000;3.0;4.0
1370107155000;0.0;1.0
1370107156000;5.0;6.0
1370107157000;2.0;5.0
1370107158000;1.0;2.0
1370107159000;3.0;2.0
1370107160000;3.0;2.0
1370107161000;2.0;6.0
1370107162000;4.0;0.0
1370107163000;2.0;4.0
1370107164000;4.0;1.0
1370107165000;1.0;2.0
1370107166000;5.0;2.0
1370107167000;2.0;3.0
1370107168000;3.0;2.0
1370107169000;5.0;3.0
1370107170000;1.0;3.0
1370107171000;4.0;4.0
1370107172000;6.0;2.0
1370107173000;6.0;1.0
1370107174000;5.0;2.0
1370107175000;2.0;4.0
1370107176000;2.0;3.0
1370107177000;6.0;5.0
1370107178000;3.0;4.0
1370107179000;0.0;2.0
1370107180000;2.0;5.0
1370107181000;2.0;2.0
1370107182000;2.0;3.0
1370107183000;1.0;1.0
1370107184000;5.0;2.0
1370107185000;1.0;2.0
1370107186000;3.0;3.0
1370107187000;3.0;3.0
1370107188000;4.0;2.0
1370107189000;4.0;1.0
1370107190000;3.0;2.0
1370107191000;4.0;4.0
1370107192000;3.0;1.0
1370107193000;4.0;7.0
1370107194000;4.0;4.0
1370107195000;4.0;7.0
1370107196000;3.0;2.0
1370107197000;2.0;4.0
1370107198000;5.0;0.0
1370107199000;4.0;3.0
1370107200000;5.0;3.0
1370107201000;6.0;2.0
1370107202000;4.0;5.0
1370107203000;4.0;6.0
1370107204000;1.0;2.0
1370107205000;3.0;4.0
1370107206000;1.0;2.0
1370107207000;2.0;6.0
1370107208000;6.0;3.0
1370107209000;4.0;4.0
1370107210000;2.0;5.0
1370107211000;5.0;2.0
1370107212000;4.0;0.0
1370107213000;2.0;4.0
1370107214000;4.0;0.0
1370107215000;1.0;4.0
1370107216000;6.0;3.0
1370107217000;2.0;2.0
1370107218000;4.0;2.0
1370107219000;4.0;7.0
1370107220000;4.0;6.0
1370107221000;1.0;4.0
1370107222000;2.0;3.0
1370107223000;2.0;1.0
1370107224000;2.0;4.0
1370107225000;4.0;0.0
1370107226000;2.0;5.0
1370107227000;2.0;2.0
1370107228000;3.0;4.0
1370107229000;4.0;6.0
1370107230000;1.0;4.0
1370107231000;4.0;1.0
1370107232000;5.0;2.0
1370107233000;3.0;6.0
1370107234000;3.0;1.0
1370107235000;4.0;4.0
1370107236000;3.0;5.0
1370107237000;5.0;1.0
1370107238000;4.0;6.0
1370107239000;4.0;1.0
1370107240000;2.0;3.0
1370107241000;1.0;6.0
1370107242000;4.0;4.0
1370107243000;5.0;3.0
1370107244000;2.0;5.0
1370107245000;2.0;3.0
1370107246000;4.0;5.0
1370107247000;3.0;1.0
1370107248000;3.0;1.0
1370107249000;1.0;0.0
1370107250000;5.0;2.0
1370107251000;3.0;5.0
1370107252000;6.0;3.0
1370107253000;3.0;4.0
1370107254000;5.0;1.0
1370107255000;1.0;4.0
1370107256000;2.0;2.0
1370107257000;4.0;5.0
1370107258000;8.0;2.0
1370107259000;1.0;6.0
1370107260000;1.0;4.0
1370107261000;2.0;7.0
1370107262000;2.0;3.0
1370107263000;3.0;0.0
1370107264000;4.0;1.0
1370107265000;0.0;2.0
1370107266000;3.0;4.0
1370107267000;2.0;2.0
1370107268000;5.0;8.0
1370107269000;4.0;4.0
1370107270000;2.0;3.0
1370107271000;5.0;6.0
1370107272000;2.0;3.0
1370107273000;1.0;3.0
1370107274000;3.0;2.0
1370107275000;5.0;3.0
1370107276000;2.0;2.0
1370107277000;6.0;3.0
1370107278000;6.0;2.0
1370107279000;8.0;1.0
1370107280000;7.0;2.0
1370107281000;2.0;5.0
1370107282000;2.0;3.0
1370107283000;5.0;0.0
1370107284000;2.0;0.0
1370107285000;2.0;1.0
1370107286000;3.0;2.0
1370107287000;2.0;1.0
1370107288000;4.0;6.0
1370107289000;3.0;5.0
1370107290000;1.0;1.0
1370107291000;2.0;7.0
1370107292000;3.0;6.0
1370107293000;3.0;4.0
1370107294000;2.0;3.0
1370107295000;4.0;3.0
1370107296000;3.0;5.0
1370107297000;3.0;5.0
1370107298000;7.0;3.0
1370107299000;1.0;6.0
1370107300000;1.0;2.0
1370107301000;5.0;4.0
1370107302000;5.0;4.0
1370107303000;5.0;3.0
1370107304000;2.0;6.0
1370107305000;8.0;3.0
1370107306000;3.0;2.0
1370107307000;2.0;7.0
1370107308000;0.0;2.0
1370107309000;3.0;1.0
1370107310000;5.0;3.0
1370107311000;5.0;1.0
1370107312000;3.0;4.0
1370107313000;5.0;2.0
1370107314000;5.0;3.0
1370107315000;3.0;6.0
1370107316000;3.0;0.0
1370107317000;5.0;4.0
1370107318000;1.0;2.0
1370107319000;3.0;2.0
1370107320000;3.0;1.0
1370107321000;3.0;6.0
1370107322000;2.0;1.0
1370107323000;1.0;2.0
1370107324000;3.0;3.0
1370107325000;6.0;4.0
1370107326000;2.0;3.0
1370107327000;2.0;6.0
1370107328000;3.0;2.0
1370107329000;5.0;4.0
1370107330000;5.0;4.0
1370107331000;3.0;4.0
1370107332000;7.0;1.0
1370107333000;4.0;1.0
1370107334000;4.0;5.0
1370107335000;5.0;2.0
1370107336000;3.0;1.0
1370107337000;3.0;2.0
1370107338000;0.0;2.0
1370107339000;5.0;5.0
1370107340000;2.0;2.0
1370107341000;1.0;5.0
1370107342000;3.0;4.0
1370107343000;2.0;1.0
1370107344000;3.0;4.0
1370107345000;5.0;5.0
1370107346000;3.0;5.0
1370107347000;5.0;3.0
1370107348000;1.0;5.0
1370107349000;6.0;1.0
1370107350000;3.0;2.0
1370107351000;5.0;4.0
1370107352000;7.0;0.0
1370107353000;1.0;5.0
1370107354000;4.0;1.0
1370107355000;1.0;3.0
1370107356000;3.0;4.0
1370107357000;2.0;2.0
1370107358000;2.0;0.0
1370107359000;3.0;5.0
1370107360000;5.0;6.0
1370107361000;3.0;5.0
1370107362000;3.0;2.0
1370107363000;7.0;6.0
1370107364000;4.0;6.0
1370107365000;1.0;2.0
1370107366000;4.0;4.0
1370107367000;4.0;3.0
1370107368000;6.0;2.0
1370107369000;4.0;3.0
1370107370000;3.0;3.0
1370107371000;1.0;4.0
1370107372000;4.0;1.0
1370107373000;5.0;4.0
1370107374000;2.0;3.0
1370107375000;1.0;3.0
1370107376000;5.0;3.0
1370107377000;2.0;5.0
1370107378000;4.0;3.0
1370107379000;2.0;3.0
1370107380000;3.0;2.0
1370107381000;4.0;2.0
1370107382000;5.0;2.0
1370107383000;3.0;4.0
1370107384000;4.0;4.0
1370107385000;3.0;4.0
1370107386000;5.0;5.0
1370107387000;4.0;5.0
1370107388000;4.0;5.0
1370107389000;2.0;1.0
1370107390000;3.0;4.0
1370107391000;1.0;3.0
1370107392000;2.0;2.0
1370107393000;5.0;0.0
1370107394000;5.0;2.0
1370107395000;3.0;3.0
1370107396000;3.0;4.0
1370107397000;4.0;2.0
1370107398000;3.0;1.0
1370107399000;1.0;1.0
1370107400000;4.0;1.0
1370107401000;2.0;2.0
1370107402000;2.0;2.0
1370107403000;3.0;2.0
1370107404000;2.0;2.0
1370107405000;2.0;7.0
1370107406000;4.0;4.0
1370107407000;2.0;3.0
1370107408000;8.0;1.0
1370107409000;4.0;2.0
1370107410000;4.0;3.0
1370107411000;4.0;4.0
1370107412000;2.0;5.0
1370107413000;5.0;2.0
1370107414000;3.0;5.0
1370107415000;3.0;6.0
1370107416000;6.0;2.0
1370107417000;3.0;4.0
1370107418000;7.0;2.0
1370107419000;5.0;4.0
1370107420000;1.0;5.0
1370107421000;2.0;5.0
1370107422000;1.0;4.0
1370107423000;3.0;1.0
1370107424000;3.0;4.0
1370107425000;1.0;3.0
1370107426000;3.0;5.0
1370107427000;3.0;1.0
1370107428000;0.0;5.0
1370107429000;3.0;4.0
1370107430000;5.0;1.0
1370107431000;3.0;7.0
1370107432000;2.0;1.0
1370107433000;0.0;3.0
1370107434000;6.0;4.0
1370107435000;2.0;5.0
1370107436000;1.0;5.0
1370107437000;4.0;5.0
1370107438000;4.0;4.0
1370107439000;5.0;3.0
1370107440000;4.0;2.0
